"id","sequence","active","name","phone","schedule","address","city"
"__export__.js_website_vimenpaq_office_505_4243d047","10","True","Santo Domingo. Padre Castellanos","(809) 245-3033 / (809) 536-7916","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 06:00pm","Ave. Padre Castellanos No. 218 ,esq. Madre Mazarelli, Villa Maria","Santo Domingo. Padre Castellanos"
"__export__.js_website_vimenpaq_office_506_f3a81927","10","True","Sirena Charles De Gaulle","(809) 483-2515","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Ave. Charles de Gaulle Casi esq. Carr. Mella. Cancino 2do","Sirena Charles De Gaulle"
"__export__.js_website_vimenpaq_office_507_c5e12da9","10","True","Sirena Avenida Mella","(809) 688-7535","Lun-Vier. 08:00am - 07:00pm
Sáb. 08:00am - 07:00pm
Dom. 09:00am - 05:00pm","Av. Mella No. 258 esq. Duarte","Sirena Avenida Mella"
"__export__.js_website_vimenpaq_office_508_acb61be7","10","True","Sirena Winston Churchill","(809) 541-4216 / (809) 541-4217","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 08:00pm","Av. Winston Churchill esq. Av. Gustavo M. Ricart","Sirena Winston Churchill"
"__export__.js_website_vimenpaq_office_509_b5c4185e","10","True","Sirena San Francisco de Macoris II","(809) 588-0554","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Carretera SFM-Nagua. Km 2 1/2","Sirena San Francisco de Macoris II"
"__export__.js_website_vimenpaq_office_510_af5fc392","10","True","Sirena Av. Luperon II","(809) 227-8386","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Ave. Luperon , Herrera. Anti. Aer. De Herrera","Sirena Av. Luperon II"
"__export__.js_website_vimenpaq_office_511_7f6b1d16","10","True","Jumbo Avenida Luperon","(809) 565-4970","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Av. Luperon esq. Gustavo M. Ricart, Las Praderas","Jumbo Avenida Luperon"
"__export__.js_website_vimenpaq_office_512_41dbf9f0","10","True","Plaza Lama Carretera Mella","(809) 483-3999","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 07:00pm","Carretera Mella Km 8 1/2. Local No. 1 Cancino II","Plaza Lama Carretera Mella"
"__export__.js_website_vimenpaq_office_513_7fd163fd","10","True","Sirena Autopista San Isidro II","(809) 788-9011 / (809) 788-8819","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Autopista San Isidro No. 03","Sirena Autopista San Isidro II"
"__export__.js_website_vimenpaq_office_514_588cca2a","10","True","Sirena Avenida Venezuela","(809) 234-1918","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Av. Venezuela No.100.","Sirena Avenida Venezuela"
"__export__.js_website_vimenpaq_office_515_ae41ad19","10","True","Santo Domingo. Supermercado Carrefour","(809) 561-5231","Lun-Vier. 09:00am – 08:00pm
Sáb. 09:00am – 02:00pm","Autopista Duarte, Km. 10 ½","Santo Domingo"
"__export__.js_website_vimenpaq_office_516_434250f9","10","True","Bávaro. Oficina Principal","(809) 552-0148","Lun-Vier. 08:00am - 05:00pm
Sáb. 09:00am - 01:00pm","Ave. España, Gran Plaza Friusa.","Bávaro"
"__export__.js_website_vimenpaq_office_517_efe33eec","10","True","Santiago. La Sirena, El Embrujo","(809) 587-9959","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Aut. Duarte esq. Rafael Vidal","Santiago"
"__export__.js_website_vimenpaq_office_518_cab36f78","10","True","Sirena Las Caobas","(829) 688-0603","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Prolongación Ave. 27 de Febrero","Sirena Las Caobas"
"__export__.js_website_vimenpaq_office_519_a501e53e","10","True","Sirena Villa Mella","(809) 620-5832","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Ave. Hermanas Mirabal esq. Charles de Gaulle.","Sirena Villa Mella"
"__export__.js_website_vimenpaq_office_520_7091e739","10","True","Jimaní","(809) 248-3071","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 12:00pm","Calle 27 de Febrero No. 04","Jimaní"
"__export__.js_website_vimenpaq_office_521_29bc9746","10","True","Sirena Bonao II","(809) 551-9823","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","C/ Las Hortensias (Ant. Autopista Duarte)","Sirena Bonao II"
"__export__.js_website_vimenpaq_office_522_32567cf8","10","True","Olé Autopista Duarte","(809) 238-2526 / (809) 616-5916","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Sáb. 09:00am - 05:00pm","Ole Km 17 Autopista Duarte","Olé Autopista Duarte"
"__export__.js_website_vimenpaq_office_523_9123b20e","10","True","Sirena José Contreras","(809) 508-1749","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Av. José Contreras esq Alma Mater. Zona Universitaria","Sirena José Contreras"
"__export__.js_website_vimenpaq_office_524_931cb5ad","10","True","Higuey - La Sirena","(809) 554-9387","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","C/José Audilio Santana esq. Hermanos Goico Morales","Higuey"
"__export__.js_website_vimenpaq_office_525_6cb377a2","10","True","Santo Domingo. Supermercado Pola Independencia","(809) 535-0382","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Avenida Independencia KM 8 ½ esq. Interior A","Santo Domingo"
"__export__.js_website_vimenpaq_office_526_a63ca525","10","True","Santo Domingo. Supermercado Nacional Nuñez de Cáceres","(809) 793-1649","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 04:00pm","Av. Núñez de Cáceres Esq. Guarocuya, El Millón, Distrito Nacional","Santo Domingo"
"__export__.js_website_vimenpaq_office_527_da42f2ce","10","True","Santo Domingo. Los Alcarrizos, Supermercado Aprezio","(809) 545-3633","Lun-Vier. 08:00am - 07:00pm
Sáb. 08:00am - 07:00pm
Dom. 09:00am - 05:00pm","C/ Duarte No. 90. Aprezio. Los Alcarrizos.","Santo Domingo"
"__export__.js_website_vimenpaq_office_528_4c1b7fa3","10","True","Santo Domingo. Lope de Vega","(809) 566-6228","Lun-Vier. 08:00am - 09:00pm
Sáb. 09:00am - 04:00pm","Ave. Lope de Vega esq. C/ Rafael Hernandez No. 19. Naco","Santo Domingo"
"__export__.js_website_vimenpaq_office_529_9b5959b8","10","True","La Vega. La Sirena","(809) 824-3496","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 12:00pm","Avenida Gregorio Rivas No.163 sector Villa Lora","La Vega"
"__export__.js_website_vimenpaq_office_530_b9999aea","10","True","Santo Domingo. Plaza Patio Colombia, República de Colombia","(809)-378-6606","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Avenida República de Colombia, Plaza Patio Colombia, Sto. Dgo. Oeste.","Santo Domingo"
"__export__.js_website_vimenpaq_office_531_ea644e51","10","True","Boca Chica","(809) 523-4625","Lun-Vier. 08:00am - 05:30pm
Sáb. 08:00am - 05:30pm","C/ Duarte No. 65","Boca Chica"
"__export__.js_website_vimenpaq_office_532_f5e3e400","10","True","El Seibo","(809) 552-5555","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 05:00pm","Ave. Manuela Diez No. 8. Edif. Alfredo Sport 2. Local #3","El Seibo"
"__export__.js_website_vimenpaq_office_533_fe9bbd7b","10","True","Esperanza","(809) 585-8014 / (809) 585-8846","Lun-Vier. 08:00am - 06:00pm
Sáb. 09:00am - 05:00pm","C/ María Trinidad Sánchez No. 6","Esperanza"
"__export__.js_website_vimenpaq_office_534_9d12b0ca","10","True","Jarabacoa","(809) 574-4415 / (809) 574-4416 / (809) 574-4065","Lun-Vier. 08:00am - 05:30pm
Sáb. 08:00am - 12:00pm","C/ Independencia No. 43","Jarabacoa"
"__export__.js_website_vimenpaq_office_535_18146609","10","True","Miches","(809) 553-5222 / (809) 553-5899","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 04:00pm","C/ Mella No. 63","Miches"
"__export__.js_website_vimenpaq_office_536_6cb2c91e","10","True","Moca","(809) 578-3161 / (809) 578-3373","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 03:00pm","C/ Dr. Alfonseca No. 17","Moca"
"__export__.js_website_vimenpaq_office_537_4376c9e6","10","True","Nagua","(809) 584-2896 / (809) 584-1891","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 04:00pm","C/ Emilio Conde No. 11","Nagua"
"__export__.js_website_vimenpaq_office_538_88f43614","10","True","San Juan","(809) 557-2801","Lun-Vier. 08:00am - 12:00pm, 2:00pm - 6:00pm
Sáb. 08:00am - 12:00pm","Farmacia Inmaculada. Ave. Independencia No. 45","San Juan"
"__export__.js_website_vimenpaq_office_539_65a8d3ac","10","True","Azua","(809) 521-2301","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 08:00am - 01:00pm","Farmacia Dilania. Ave. 27 de Febrero No. 34. Detrás del Parque Duarte.","Azua"
"__export__.js_website_vimenpaq_office_540_efb4c414","10","True","Mao","(809) 572-3515 / (809) 499-4442","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 05:00pm","C/ 27 de Febrero No. 88","Mao"
"__export__.js_website_vimenpaq_office_541_1a351993","10","True","Villa Vásquez","(809) 579-6288 / (809) 579-6614","Lun-Vier. 08:00am - 05:30pm
Sáb. 08:00am - 05:00pm","C/ Bernardo Rodríguez No. 48","Villa Vásquez"
"__export__.js_website_vimenpaq_office_542_65f1c3e7","10","True","Bayaguana","(809) 525-1133 / (809) 525-0027","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 03:00pm","C/ Sánchez esq. Gastón F. Deligne No. 2","Bayaguana"
"__export__.js_website_vimenpaq_office_543_9644ccfc","10","True","Las Terrenas","(809) 240-6551 / (809) 240-6873","Lun-Vier. 08:00am - 05:00pm
Sáb. 09:00am - 04:00pm","C/ Duarte No. 164","Las Terrenas"
"__export__.js_website_vimenpaq_office_544_d37b08c7","10","True","San Cristóbal","(809) 528-9036","Lun-Vier. 08:00am - 05:00pm
Sáb. 09:00am - 12:00pm","C / Padre Ayala esq. Padre Borbón No. 103","San Cristóbal"
"__export__.js_website_vimenpaq_office_545_19fd859b","10","True","La Isabela","(809) 589-5387","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 05:00pm","C/ Cristóbal Colón No. 8","La Isabela"
"__export__.js_website_vimenpaq_office_546_cbf62447","10","True","Sabana Grande de Boya","(809) 551-8866","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 12:00pm","C/ Monseñor de Merño No. 8","Sabana Grande de Boya"
"__export__.js_website_vimenpaq_office_547_9ab16429","10","True","Guerra","(809) 526-5852 / (809) 526-5606","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 03:00pm","C/ Carlos Manuel Pumarol No. 5","Guerra"
"__export__.js_website_vimenpaq_office_548_5c817870","10","True","Villa González","(809) 580-0626 / (809) 580-0542","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 03:00pm","C/ José Manuel Peña hijo No. 15","Villa González"
"__export__.js_website_vimenpaq_office_549_49a21be6","10","True","Hato Mayor","(809) 553-2166 / (809) 553-2214","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 04:00pm","C/ Duarte No. 65","Hato Mayor"
"__export__.js_website_vimenpaq_office_550_99cc9163","10","True","Santiago. Gurabo","(809) 736-7015","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 12:00pm","Carretera Luperón Km 7 ½","Santiago"
"__export__.js_website_vimenpaq_office_551_82dd0cbf","10","True","Dajabón","(809) 579-7210","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 12:00pm","Ave. Dulce de Jesús Senfleur No. 25","Dajabón"
"__export__.js_website_vimenpaq_office_552_a90601f6","10","True","Monte Cristi","(809) 579-3333 / (809) 230-1525","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 12:00pm","C/ Juan de la Cruz Álvarez No. 27","Monte Cristi"
"__export__.js_website_vimenpaq_office_553_5f02a8ec","10","True","San José de las Matas","(809) 571-6032","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 12:00pm","C/ 30 de Marzo No. 30","San José de las Matas"
"__export__.js_website_vimenpaq_office_554_56ac091e","10","True","Sánchez","(809) 552-7600","Lun-Vier. 08:00am - 05:00pm
Sáb. 09:00am - 03:00pm","C/ Duarte No. 1","Sánchez"
"__export__.js_website_vimenpaq_office_555_55f31d3c","10","True","Bani","(809) 522-4300 / (809) 522-5323","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 05:00pm","C/ Duarte No. 33","Bani"
"__export__.js_website_vimenpaq_office_556_a7c30f0e","10","True","Pedernales","(809) 524-0103","Lun-Vier. 08:00am - 05:00pm
Sáb. 09:00am - 12:00pm","C/ Duarte No. 6 esq. Idelfonso Pérez","Pedernales"
"__export__.js_website_vimenpaq_office_557_834b7ca7","10","True","Samaná","(809) 538-2420 / (809) 538-2259","Lun-Vier. 08:30am,05:00pm
Sáb. 09:00am - 01:00pm","Ave. Las Marinas No. 5","Samaná"
"__export__.js_website_vimenpaq_office_558_4f033b23","10","True","San José de Ocoa","(809) 558-2359","Lun-Vier. 08:00am - 05:30pm
Sáb. 08:00am - 05:30pm","C/ Duarte No. 23","San José de Ocoa"
"__export__.js_website_vimenpaq_office_559_dc12f655","10","True","Santo Domingo. Manoguayabo","(809) 564-1878 / (809) 564-0551 ext 22","Lun-Vier. 08:00am - 05:30pm
Sáb. 09:00am - 01:00pm","Ave. Los Beisbolistas esq. Santa Clara No. 1","Santo Domingo"
"__export__.js_website_vimenpaq_office_560_74ea046a","10","True","Santiago. La fuente","(829) 724-6162","Lun-Vier. 08:00am - 07:00pm
Sáb. 08:00am - 07:00pm","Ave. Circunvalación No. 411. Plaza Ulloa","Santiago"
"__export__.js_website_vimenpaq_office_561_69013edc","10","True","Santiago. Las Colinas, Colinas Mall","(829) 575-6162","Lun-Vier. 08:30am,07:00pm
Sáb. 08:30am,07:00pm","Ave. 27 de Febrero esq. Imbert. Colinas Mall","Santiago"
"__export__.js_website_vimenpaq_office_562_6199da62","10","True","Salcedo","(809) 577-4892","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 12:00pm","C/ Restauración No. 24","Salcedo"
"__export__.js_website_vimenpaq_office_563_e6df5005","10","True","Monte Plata","(809) 551-6529","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 12:00pm","Ave. Altagracia No. 65","Monte Plata"
"__export__.js_website_vimenpaq_office_564_8a38c8aa","10","True","Santiago Rodriguez","(809)-580-4125 / (809)-582-4230","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 05:00pm","Ave. Próceres de la Restauración No. 168","Santiago Rodriguez"
"__export__.js_website_vimenpaq_office_565_ebd8d91d","10","True","Santiago. Supermercado Central, 27 de febrero","(809) 582-4088","Lun-Vier. 07:00am - 10:00pm
Sáb. 07:00am - 10:00pm
Dom. 07:00am - 10:00pm","Supermercado Central. Ave. 27 de Febrero No. 65. Cerros de Gurabo","Santiago"
"__export__.js_website_vimenpaq_office_566_c87591ba","10","True","Bávaro - Verón","(809) 455-1599","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 06:00pm
Dom. 08:00am - 12:00pm","Carretera Verón. Punta Cana Km 38","Bávaro"
"__export__.js_website_vimenpaq_office_567_9a1f17fe","10","True","Bávaro. San Juan Shopping Center","(809) 466-2082","Lun-Vier. 08:00am - 08:00pm
Sáb. 08:00am - 08:00pm
Dom. 10:00am - 04:00pm","Ave. Barceló. San Juan Shopping Center","Bávaro"
"__export__.js_website_vimenpaq_office_568_3c05c806","10","True","Constanza II","(809) 539-2862","Lun-Vier. 08:00am - 05:00pm
Sáb. 09:00am - 12:00pm","C/ Luperón No. 86","Constanza II"
"__export__.js_website_vimenpaq_office_569_7c000d0b","10","True","Bávaro. Otra banda","(809) 551-0965","Lun-Vier. 08:00am - 08:00pm
Sáb. 08:00am - 06:00pm","Carretera Higüey – Bávaro Km 5 ½","Bávaro"
"__export__.js_website_vimenpaq_office_570_4c9c869f","10","True","Santiago. Super Plaza Venezuela","(809) 575-3854 ext 105","Lun-Vier. 07:00am - 10:00pm
Sáb. 07:00am - 10:00pm
Dom. 07:00am - 10:00pm","Super Plaza Venezuela. Ave. Estrella Sadhalá No. 98","Santiago"
"__export__.js_website_vimenpaq_office_571_cac2a8df","10","True","Haina","(809) 237-0409","Lun-Vier. 08:30am,05:30pm
Sáb. 08:30am,05:30pm","C/ Sánchez No. 5.","Haina"
"__export__.js_website_vimenpaq_office_572_fa8b765a","10","True","Río San Juan","(809) 589-2371","Lun-Vier. 08:30am,05:30pm
Sáb. 08:00am - 01:00pm","C/ Padre Billini No. 79","Río San Juan"
"__export__.js_website_vimenpaq_office_573_0249dab8","10","True","Bávaro. Plaza RBCAR","(809) 468-1300","Lun-Vier. 08:00am - 08:00pm
Sáb. 08:00am - 05:00pm","Av. España No. 7, Plaza RBCAR, Bávaro","Bávaro"
